Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
125,3,Sep 11 2021,7:00 PM,Sat,Louisville,30,,Eastern Kentucky,3,
126,3,Sep 11 2021,6:30 PM,Sat,Marshall,44,,North Carolina Central,10,
127,3,Sep 11 2021,7:30 PM,Sat,Maryland,62,,Howard,0,
128,3,Sep 11 2021,7:00 PM,Sat,Memphis,55,@,Arkansas State,50,
129,3,Sep 11 2021,7:00 PM,Sat,(22) Miami (FL),25,,Appalachian State,23,
130,3,Sep 11 2021,8:00 PM,Sat,Michigan,31,,Washington,10,
131,3,Sep 11 2021,12:00 PM,Sat,Michigan State,42,,Youngstown State,14,
132,3,Sep 11 2021,12:00 PM,Sat,Minnesota,31,,Miami (OH),26,
133,3,Sep 11 2021,7:30 PM,Sat,(20) Mississippi,54,,Austin Peay,17,
134,3,Sep 11 2021,7:00 PM,Sat,Mississippi State,24,,North Carolina State,10,
135,3,Sep 11 2021,3:30 PM,Sat,Nebraska,28,,Buffalo,3,
136,3,Sep 11 2021,10:30 PM,Sat,Nevada,49,,Idaho State,10,
137,3,Sep 11 2021,7:00 PM,Sat,New Mexico,34,,New Mexico State,25,
138,3,Sep 11 2021,7:30 PM,Sat,(24) North Carolina,59,,Georgia State,17,
139,3,Sep 11 2021,12:00 PM,Sat,Northwestern,24,,Indiana State,6,
140,3,Sep 11 2021,2:30 PM,Sat,(8) Notre Dame,32,,Toledo,29,
141,3,Sep 11 2021,7:00 PM,Sat,(4) Oklahoma,76,,Western Carolina,0,
142,3,Sep 11 2021,12:00 PM,Sat,Oklahoma State,28,,Tulsa,23,
143,3,Sep 11 2021,7:00 PM,Sat,Old Dominion,47,,Hampton,7,
144,3,Sep 11 2021,12:00 PM,Sat,(12) Oregon,35,@,(3) Ohio State,28,
145,3,Sep 11 2021,11:00 PM,Sat,Oregon State,45,,Hawaii,27,
146,3,Sep 11 2021,3:30 PM,Sat,(11) Penn State,44,,Ball State,13,
147,3,Sep 11 2021,12:00 PM,Sat,Pittsburgh,41,@,Tennessee,34,
148,3,Sep 11 2021,3:00 PM,Sat,Purdue,49,@,Connecticut,0,
149,3,Sep 11 2021,2:00 PM,Sat,Rutgers,17,@,Syracuse,7,
150,3,Sep 11 2021,10:00 PM,Sat,San Diego State,38,@,Arizona,14,
151,3,Sep 11 2021,4:00 PM,Sat,South Alabama,22,@,Bowling Green State,19,
152,3,Sep 11 2021,12:00 PM,Sat,South Carolina,20,@,East Carolina,17,
153,3,Sep 11 2021,7:00 PM,Sat,Southern Methodist,35,,North Texas,12,
154,3,Sep 11 2021,7:00 PM,Sat,Southern Mississippi,37,,Grambling State,0,
155,3,Sep 11 2021,10:30 PM,Sat,Stanford,42,@,(14) Southern California,28,
156,3,Sep 11 2021,3:30 PM,Sat,Temple,45,@,Akron,24,
157,3,Sep 11 2021,3:30 PM,Sat,(5) Texas A&M,10,N,Colorado,7,Empower Field at Mile High - Denver Colorado
158,3,Sep 11 2021,3:30 PM,Sat,Texas Christian,34,,California,32,
159,3,Sep 11 2021,7:00 PM,Sat,Texas State,23,@,Florida International,17,
160,3,Sep 11 2021,7:00 PM,Sat,Texas Tech,28,,Stephen F. Austin,22,
161,3,Sep 11 2021,6:00 PM,Sat,Texas-San Antonio,54,,Lamar,0,
162,3,Sep 11 2021,1:00 PM,Sat,Tulane,69,,Morgan State,20,
163,3,Sep 11 2021,10:00 PM,Sat,Vanderbilt,24,@,Colorado State,21,
164,3,Sep 11 2021,11:00 AM,Sat,Virginia,42,,Illinois,14,
165,3,Sep 11 2021,2:00 PM,Sat,(19) Virginia Tech,35,,Middle Tennessee State,14,
166,3,Sep 11 2021,12:00 PM,Sat,Wake Forest,41,,Norfolk State,16,
167,3,Sep 11 2021,6:00 PM,Sat,Washington State,44,,Portland State,24,
168,3,Sep 11 2021,5:00 PM,Sat,West Virginia,66,,Long Island,0,
169,3,Sep 11 2021,5:00 PM,Sat,Western Michigan,28,,Illinois State,0,
170,3,Sep 11 2021,7:00 PM,Sat,(18) Wisconsin,34,,Eastern Michigan,7,
171,3,Sep 11 2021,1:30 PM,Sat,Wyoming,50,@,Northern Illinois,43,
172,4,Sep 16 2021,8:00 PM,Thu,Louisiana,49,,Ohio,14,
173,4,Sep 17 2021,7:30 PM,Fri,Louisville,42,,Central Florida,35,
174,4,Sep 17 2021,9:00 PM,Fri,Maryland,20,@,Illinois,17,
175,4,Sep 18 2021,3:30 PM,Sat,Akron,35,,Bryant,14,
176,4,Sep 18 2021,3:30 PM,Sat,(1) Alabama,31,@,(11) Florida,29,
177,4,Sep 18 2021,7:30 PM,Sat,Alabama-Birmingham,40,@,North Texas,6,
178,4,Sep 18 2021,3:30 PM,Sat,Appalachian State,44,,Elon,10,
179,4,Sep 18 2021,4:00 PM,Sat,(20) Arkansas,45,,Georgia Southern,10,
180,4,Sep 18 2021,12:00 PM,Sat,Army,52,,Connecticut,21,
181,4,Sep 18 2021,3:30 PM,Sat,Baylor,45,@,Kansas,7,
182,4,Sep 18 2021,12:00 PM,Sat,Boston College,28,@,Temple,3,
183,4,Sep 18 2021,5:00 PM,Sat,Bowling Green State,27,,Murray State,10,
184,4,Sep 18 2021,10:15 PM,Sat,(23) Brigham Young,27,,(19) Arizona State,17,
185,4,Sep 18 2021,4:00 PM,Sat,California,42,,Sacramento State,30,
186,4,Sep 18 2021,12:00 PM,Sat,(8) Cincinnati,38,@,Indiana,24,
187,4,Sep 18 2021,3:30 PM,Sat,(6) Clemson,14,,Georgia Tech,8,
188,4,Sep 18 2021,12:00 PM,Sat,(16) Coastal Carolina,28,@,Buffalo,25,
189,4,Sep 18 2021,4:00 PM,Sat,Colorado State,22,@,Toledo,6,
190,4,Sep 18 2021,4:00 PM,Sat,Duke,30,,Northwestern,23,
191,4,Sep 18 2021,6:00 PM,Sat,East Carolina,42,@,Marshall,38,
192,4,Sep 18 2021,3:30 PM,Sat,Eastern Michigan,42,@,Massachusetts,28,
193,4,Sep 18 2021,6:00 PM,Sat,Florida Atlantic,45,,Fordham,14,
194,4,Sep 18 2021,10:45 PM,Sat,Fresno State,40,@,(13) UCLA,37,
