,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
68,UCLA,Pac-12 (South),,6,7,6.49,-5.85,0.64,48.38,17.68,9.96,5.23,4.73,4.57,7.79,4.62
69,Appalachian State,Sun Belt,,9,4,-2.37,2.96,0.59,40.82,10.67,8.52,5.76,5.91,3.42,7.07,4.38
70,Wyoming,MWC (Mountain),,8,5,-6.92,6.96,0.04,33.73,6.41,7.66,5.71,3.81,2.79,5.59,3.77
71,Virginia,ACC (Coastal),,6,7,-1.39,1.33,-0.06,39.77,12.72,7.47,5.21,4.29,3.58,6.17,4.22
72,California,Pac-12 (North),,5,7,-0.34,0.18,-0.16,40.91,10.94,8.10,5.84,4.23,3.14,6.38,4.16
73,Temple,American (East),,7,6,-3.41,2.60,-0.81,35.82,12.44,7.84,5.87,4.42,3.33,6.14,4.37
74,Colorado State,MWC (Mountain),,7,6,4.38,-5.25,-0.87,44.26,17.46,9.34,6.58,5.72,4.61,7.58,5.50
75,Marshall,CUSA (East),,8,5,-2.78,1.65,-1.13,37.20,12.17,7.93,6.02,4.58,2.83,6.37,4.17
76,North Carolina,ACC (Coastal),,3,9,-0.52,-1.30,-1.82,43.52,15.59,8.09,6.28,5.26,3.65,6.70,4.64
77,Vanderbilt,SEC (East),,5,7,-1.92,-0.20,-2.11,40.11,16.64,8.95,5.17,4.80,4.11,7.03,4.37
78,Utah State,MWC (Mountain),,6,7,-2.77,0.59,-2.18,41.19,15.82,7.68,5.11,5.28,3.69,6.52,4.17
79,Tulane,American (West),,5,7,-2.43,0.20,-2.24,37.83,13.96,8.44,7.17,5.34,4.32,6.31,5.46
80,Rutgers,Big Ten (East),,4,8,-7.17,4.90,-2.27,37.21,11.22,6.91,5.77,5.51,3.69,6.13,4.45
81,Arkansas State,Sun Belt,,7,5,0.68,-3.10,-2.42,43.35,17.37,8.30,6.53,4.28,3.17,6.53,4.52
82,Louisiana Tech,CUSA (West),,7,6,0.76,-3.20,-2.44,40.66,16.64,8.03,6.06,5.20,4.27,6.64,4.89
83,Arkansas,SEC (West),,4,8,4.20,-6.65,-2.45,45.41,19.66,9.04,6.48,5.74,3.93,7.22,4.90
84,Colorado,Pac-12 (South),,5,7,-2.24,-0.36,-2.61,38.95,13.10,9.02,5.51,4.55,4.66,6.70,4.79
85,Western Michigan,MAC (West),,6,6,4.08,-6.95,-2.87,45.96,20.75,7.75,6.44,5.45,4.16,6.42,5.05
86,Buffalo,MAC (East),,6,6,0.28,-3.20,-2.92,38.18,14.69,9.67,6.90,4.21,3.68,6.93,4.90
