Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
61,2,Aug 31 2019,,Sat,Ohio,41,,Rhode Island,20,Peden Stadium - Athens Ohio
62,2,Aug 31 2019,,Sat,(5) Ohio State,45,,Florida Atlantic,21,Ohio Stadium - Columbus Ohio
63,2,Aug 31 2019,,Sat,Old Dominion,24,,Norfolk State,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
64,2,Aug 31 2019,,Sat,(15) Penn State,79,,Idaho,7,Beaver Stadium - University Park Pennsylvania
65,2,Aug 31 2019,,Sat,San Diego State,6,,Weber State,0,SDCCU Stadium - San Diego California
66,2,Aug 31 2019,,Sat,Southern California,31,,Fresno State,23,Los Angeles Memorial Coliseum - Los Angeles California
67,2,Aug 31 2019,,Sat,Southern Methodist,37,@,Arkansas State,30,Centennial Bank Stadium - Jonesboro Arkansas
68,2,Aug 31 2019,,Sat,Southern Mississippi,38,,Alcorn State,10,M. M. Roberts Stadium - Hattiesburg Mississippi
69,2,Aug 31 2019,,Sat,(25) Stanford,17,,Northwestern,7,Stanford Stadium - Stanford California
70,2,Aug 31 2019,,Sat,(22) Syracuse,24,@,Liberty,0,Williams Stadium - Lynchburg Virginia
71,2,Aug 31 2019,,Sat,Temple,56,,Bucknell,12,Lincoln Financial Field - Philadelphia Pennsylvania
72,2,Aug 31 2019,,Sat,(10) Texas,45,,Louisiana Tech,14,Darrell K Royal-Texas Memorial Stadium - Austin Texas
73,2,Aug 31 2019,,Sat,Texas Christian,39,,Arkansas-Pine Bluff,7,Amon G. Carter Stadium - Fort Worth Texas
74,2,Aug 31 2019,,Sat,Texas Tech,45,,Montana State,10,Jones AT&T Stadium - Lubbock Texas
75,2,Aug 31 2019,,Sat,Texas-El Paso,36,,Houston Baptist,34,Sun Bowl - El Paso Texas
76,2,Aug 31 2019,,Sat,Texas-San Antonio,35,,Incarnate Word,7,Alamodome - San Antonio Texas
77,2,Aug 31 2019,,Sat,Troy,43,,Campbell,14,Veterans Memorial Stadium - Troy Alabama
78,2,Aug 31 2019,,Sat,Virginia,30,@,Pittsburgh,14,Heinz Field - Pittsburgh Pennsylvania
79,2,Aug 31 2019,,Sat,(13) Washington,47,,Eastern Washington,14,Husky Stadium - Seattle Washington
80,2,Aug 31 2019,,Sat,(23) Washington State,58,,New Mexico State,7,Martin Stadium - Pullman Washington
81,2,Aug 31 2019,,Sat,West Virginia,20,,James Madison,13,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
82,2,Aug 31 2019,,Sat,Western Michigan,48,,Monmouth,13,Waldo Stadium - Kalamazoo Michigan
83,2,Aug 31 2019,,Sat,Wyoming,37,,Missouri,31,Jonah Field War Memorial Stadium - Laramie Wyoming
84,2,Sep 1 2019,,Sun,(4) Oklahoma,49,,Houston,31,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
85,2,Sep 2 2019,,Mon,(9) Notre Dame,35,@,Louisville,17,Cardinal Stadium - Louisville Kentucky
86,3,Sep 6 2019,,Fri,Arizona State,19,,Sacramento State,7,Sun Devil Stadium - Tempe Arizona
87,3,Sep 6 2019,,Fri,(24) Boise State,14,,Marshall,7,Albertsons Stadium - Boise Idaho
88,3,Sep 6 2019,,Fri,Virginia,52,,William & Mary,17,Scott Stadium - Charlottesville Virginia
89,3,Sep 6 2019,,Fri,Wake Forest,41,@,Rice,21,Rice Stadium - Houston Texas
90,3,Sep 7 2019,,Sat,(2) Alabama,62,,New Mexico State,10,Bryant-Denny Stadium - Tuscaloosa Alabama
91,3,Sep 7 2019,,Sat,Alabama-Birmingham,31,@,Akron,20,InfoCision Stadium - Akron Ohio
92,3,Sep 7 2019,,Sat,Appalachian State,56,,Charlotte,41,Kidd Brewer Stadium - Boone North Carolina
93,3,Sep 7 2019,,Sat,Arizona,65,,Northern Arizona,41,Arizona Stadium - Tucson Arizona
94,3,Sep 7 2019,,Sat,Arkansas State,43,@,Nevada-Las Vegas,17,Sam Boyd Stadium - Las Vegas Nevada
95,3,Sep 7 2019,,Sat,(10) Auburn,24,,Tulane,6,Jordan-Hare Stadium - Auburn Alabama
96,3,Sep 7 2019,,Sat,Ball State,57,,Fordham,29,Scheumann Stadium - Muncie Indiana
97,3,Sep 7 2019,,Sat,Baylor,63,,Texas-San Antonio,14,McLane Stadium - Waco Texas
98,3,Sep 7 2019,,Sat,Boston College,45,,Richmond,13,Alumni Stadium - Chestnut Hill Massachusetts
99,3,Sep 7 2019,,Sat,Brigham Young,29,@,Tennessee,26,Neyland Stadium - Knoxville Tennessee
100,3,Sep 7 2019,,Sat,California,20,@,(14) Washington,19,Husky Stadium - Seattle Washington
101,3,Sep 7 2019,,Sat,(18) Central Florida,48,@,Florida Atlantic,14,FAU Football Stadium - Boca Raton Florida
102,3,Sep 7 2019,,Sat,(1) Clemson,24,,(12) Texas A&M,10,Clemson Memorial Stadium - Clemson South Carolina
103,3,Sep 7 2019,,Sat,Coastal Carolina,12,@,Kansas,7,David Booth Kansas Memorial Stadium - Lawrence Kansas
104,3,Sep 7 2019,,Sat,Colorado,34,,(25) Nebraska,31,Folsom Field - Boulder Colorado
105,3,Sep 7 2019,,Sat,Colorado State,38,,Western Illinois,13,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
106,3,Sep 7 2019,,Sat,Duke,45,,North Carolina A&T,13,Wallace Wade Stadium - Durham North Carolina
107,3,Sep 7 2019,,Sat,East Carolina,48,,Gardner-Webb,9,Dowdy-Ficklen Stadium - Greenville North Carolina
108,3,Sep 7 2019,,Sat,(11) Florida,45,,Tennessee-Martin,0,Ben Hill Griffin Stadium - Gainesville Florida
109,3,Sep 7 2019,,Sat,Florida State,45,,Louisiana-Monroe,44,Doak Campbell Stadium - Tallahassee Florida
110,3,Sep 7 2019,,Sat,(3) Georgia,63,,Murray State,17,Sanford Stadium - Athens Georgia
111,3,Sep 7 2019,,Sat,Georgia Southern,26,,Maine,18,Allen E. Paulson Stadium - Statesboro Georgia
112,3,Sep 7 2019,,Sat,Georgia State,48,,Furman,42,Georgia State Stadium - Atlanta Georgia
113,3,Sep 7 2019,,Sat,Georgia Tech,14,,South Florida,10,Bobby Dodd Stadium - Atlanta Georgia
114,3,Sep 7 2019,,Sat,Hawaii,31,,Oregon State,28,Aloha Stadium - Honolulu Hawaii
115,3,Sep 7 2019,,Sat,Houston,37,,Prairie View A&M,17,TDECU Stadium - Houston Texas
116,3,Sep 7 2019,,Sat,Illinois,31,@,Connecticut,23,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
117,3,Sep 7 2019,,Sat,Indiana,52,,Eastern Illinois,0,Memorial Stadium "The Rock" - Bloomington Indiana
118,3,Sep 7 2019,,Sat,(20) Iowa,30,,Rutgers,0,Kinnick Stadium - Iowa City Iowa
119,3,Sep 7 2019,,Sat,Kansas State,52,,Bowling Green State,0,Bill Snyder Family Stadium - Manhattan Kansas
120,3,Sep 7 2019,,Sat,Kent State,26,,Kennesaw State,23,Dix Stadium - Kent Ohio
121,3,Sep 7 2019,,Sat,Kentucky,38,,Eastern Michigan,17,Kroger Field - Lexington Kentucky
122,3,Sep 7 2019,,Sat,Louisiana,35,,Liberty,14,Cajun Field - Lafayette Louisiana
123,3,Sep 7 2019,,Sat,(6) Louisiana State,45,@,(9) Texas,38,Darrell K Royal-Texas Memorial Stadium - Austin Texas
124,3,Sep 7 2019,,Sat,Louisiana Tech,20,,Grambling State,14,Joe Aillet Stadium - Ruston Louisiana
125,3,Sep 7 2019,,Sat,Louisville,42,,Eastern Kentucky,0,Cardinal Stadium - Louisville Kentucky
126,3,Sep 7 2019,,Sat,Maryland,63,,(21) Syracuse,20,Capital One Field at Maryland Stadium - College Park Maryland
127,3,Sep 7 2019,,Sat,Memphis,55,,Southern,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
128,3,Sep 7 2019,,Sat,Miami (OH),48,,Tennessee Tech,17,Fred Yager Stadium - Oxford Ohio
129,3,Sep 7 2019,,Sat,(7) Michigan,24,,Army,21,Michigan Stadium - Ann Arbor Michigan
130,3,Sep 7 2019,,Sat,(19) Michigan State,51,,Western Michigan,17,Spartan Stadium - East Lansing Michigan
131,3,Sep 7 2019,,Sat,Middle Tennessee State,45,,Tennessee State,26,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
132,3,Sep 7 2019,,Sat,Minnesota,38,@,Fresno State,35,Bulldog Stadium - Fresno California
133,3,Sep 7 2019,,Sat,Mississippi,31,,Arkansas,17,Vaught-Hemingway Stadium - Oxford Mississippi
134,3,Sep 7 2019,,Sat,Mississippi State,38,,Southern Mississippi,15,Davis Wade Stadium - Starkville Mississippi
135,3,Sep 7 2019,,Sat,Missouri,38,,West Virginia,7,Faurot Field at Memorial Stadium - Columbia Missouri
136,3,Sep 7 2019,,Sat,North Carolina,28,,Miami (FL),25,Kenan Memorial Stadium - Chapel Hill North Carolina
137,3,Sep 7 2019,,Sat,North Carolina State,41,,Western Carolina,0,Carter-Finley Stadium - Raleigh North Carolina
138,3,Sep 7 2019,,Sat,(5) Ohio State,42,,Cincinnati,0,Ohio Stadium - Columbus Ohio
139,3,Sep 7 2019,,Sat,(4) Oklahoma,70,,South Dakota,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
