,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
93,Eastern Michigan,MAC,1,5,.167,0,2,.000,25.0,35.7,-16.70,-5.70,,,,
94,Massachusetts,MAC,0,5,.000,0,1,.000,10.4,35.8,-17.98,1.42,,,,
95,Nevada-Las Vegas,MWC,5,0,1.000,1,0,1.000,35.6,26.0,-1.44,-11.84,,,,
96,Fresno State,MWC,5,1,.833,2,0,1.000,30.7,19.5,0.77,-7.07,,,,
97,San Diego State,MWC,4,1,.800,1,0,1.000,28.0,12.6,2.09,-8.51,,,,
98,Boise State,MWC,3,2,.600,1,0,1.000,32.2,25.4,3.58,0.58,,25,25,
99,Utah State,MWC,3,2,.600,1,0,1.000,36.4,30.4,6.09,3.49,,,,
100,San Jose State,MWC,2,3,.400,1,0,1.000,23.2,28.0,-8.99,-4.19,,,,
101,Hawaii,MWC,4,2,.667,1,1,.500,25.7,23.5,-3.26,-6.93,,,,
102,New Mexico,MWC,3,2,.600,0,1,.000,30.0,24.2,0.70,-4.90,,,,
103,Wyoming,MWC,2,3,.400,0,1,.000,16.8,21.2,-6.22,-2.02,,,,
104,Air Force,MWC,1,4,.200,0,3,.000,36.4,37.8,-5.87,-1.27,,,,
105,Colorado State,MWC,1,4,.200,0,1,.000,17.0,27.4,-12.65,-1.65,,,,
106,Nevada,MWC,1,4,.200,0,1,.000,15.4,25.6,-16.19,-6.99,,,,
107,Missouri,SEC,5,0,1.000,1,0,1.000,45.2,14.6,13.79,-4.61,14,,14,
108,Oklahoma,SEC,5,0,1.000,1,0,1.000,33.8,7.2,19.50,1.50,6,18,5,
109,Ole Miss,SEC,5,0,1.000,3,0,1.000,40.6,18.8,20.94,7.14,4,21,4,
110,Texas A&M,SEC,5,0,1.000,2,0,1.000,34.8,21.0,26.78,11.58,5,19,5,
111,Alabama,SEC,4,1,.800,2,0,1.000,36.4,16.0,21.71,10.31,8,8,8,
112,Georgia,SEC,4,1,.800,2,1,.667,34.6,18.4,16.31,2.91,10,5,4,
113,Vanderbilt,SEC,5,1,.833,1,1,.500,43.2,19.3,19.46,2.79,20,,16,
114,LSU,SEC,4,1,.800,1,1,.500,27.0,12.2,15.21,5.21,11,9,3,
115,Tennessee,SEC,4,1,.800,1,1,.500,51.0,29.0,13.72,0.32,12,24,12,
116,Florida,SEC,2,3,.400,1,1,.500,23.4,17.0,7.40,8.20,,15,13,
117,South Carolina,SEC,3,2,.600,1,2,.333,24.8,18.8,9.15,3.95,,13,10,
118,Mississippi State,SEC,4,2,.667,0,2,.000,33.7,19.8,11.78,4.61,,,,
119,Auburn,SEC,3,2,.600,0,2,.000,27.6,16.4,15.93,7.93,,,22,
120,Texas,SEC,3,2,.600,0,1,.000,29.6,12.0,8.49,-1.51,,1,1,
121,Arkansas,SEC,2,3,.400,0,1,.000,37.4,30.0,9.84,7.84,,,,
122,Kentucky,SEC,2,3,.400,0,3,.000,24.4,27.8,3.66,7.26,,,,
123,James Madison,Sun Belt (East),4,1,.800,2,0,1.000,27.8,13.6,7.25,-4.55,,,,
124,Old Dominion,Sun Belt (East),4,1,.800,1,0,1.000,36.2,14.6,11.76,-1.84,,,,
125,Coastal Carolina,Sun Belt (East),2,3,.400,1,1,.500,13.0,30.6,-6.05,2.15,,,,
126,Appalachian State,Sun Belt (East),3,2,.600,0,1,.000,23.4,26.4,-8.73,-8.13,,,,
127,Georgia Southern,Sun Belt (East),2,3,.400,0,1,.000,26.0,37.4,-7.71,0.49,,,,
128,Marshall,Sun Belt (East),2,3,.400,0,1,.000,31.6,31.0,-6.81,-6.81,,,,
129,Georgia State,Sun Belt (East),1,4,.200,0,1,.000,17.6,41.2,-3.03,9.17,,,,
130,Louisiana-Monroe,Sun Belt (West),3,2,.600,1,0,1.000,19.0,31.2,-1.70,-0.70,,,,
131,Southern Mississippi,Sun Belt (West),3,2,.600,1,0,1.000,31.0,26.2,2.89,-1.92,,,,
132,Troy,Sun Belt (West),3,2,.600,1,0,1.000,22.6,23.2,-1.45,-1.45,,,,
133,Louisiana,Sun Belt (West),2,3,.400,1,0,1.000,28.2,32.2,-8.25,-6.85,,,,
134,Arkansas State,Sun Belt (West),2,4,.333,1,1,.500,23.3,31.7,-4.65,-0.32,,,,
135,Texas State,Sun Belt (West),3,2,.600,0,1,.000,35.0,26.2,0.19,-5.61,,,,
136,South Alabama,Sun Belt (West),1,5,.167,0,2,.000,25.0,31.7,-5.83,1.67,,,,
