Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
71,2,Sep 3 2022,7:30 PM,Sat,(2) Ohio State,21,,(5) Notre Dame,10,
72,2,Sep 3 2022,3:30 PM,Sat,(9) Oklahoma,45,,Texas-El Paso,13,
73,2,Sep 3 2022,10:30 PM,Sat,Oregon State,34,,Boise State,17,
74,2,Sep 3 2022,12:00 PM,Sat,Rutgers,22,@,Boston College,21,
75,2,Sep 3 2022,5:00 PM,Sat,South Alabama,48,,Nicholls State,7,
76,2,Sep 3 2022,7:30 PM,Sat,South Carolina,35,,Georgia State,14,
77,2,Sep 3 2022,6:00 PM,Sat,(14) Southern California,66,,Rice,14,
78,2,Sep 3 2022,7:30 PM,Sat,Southern Methodist,48,@,North Texas,10,
79,2,Sep 3 2022,8:00 PM,Sat,Stanford,41,,Colgate,10,
80,2,Sep 3 2022,8:00 PM,Sat,Syracuse,31,,Louisville,7,
81,2,Sep 3 2022,8:00 PM,Sat,Texas,52,,Louisiana-Monroe,10,
82,2,Sep 3 2022,12:00 PM,Sat,(6) Texas A&M,31,,Sam Houston State,0,
83,2,Sep 3 2022,8:00 PM,Sat,Texas Tech,63,,Murray State,10,
84,2,Sep 3 2022,7:00 PM,Sat,Tulane,42,,Massachusetts,10,
85,2,Sep 3 2022,2:30 PM,Sat,UCLA,45,,Bowling Green,17,
86,2,Sep 3 2022,7:00 PM,Sat,Vanderbilt,42,,Elon,31,
87,2,Sep 3 2022,12:30 PM,Sat,Virginia,34,,Richmond,17,
88,2,Sep 3 2022,10:30 PM,Sat,Washington,45,,Kent State,20,
89,2,Sep 3 2022,9:30 PM,Sat,Washington State,24,,Idaho,17,
90,2,Sep 3 2022,7:00 PM,Sat,(18) Wisconsin,38,,Illinois State,0,
91,2,Sep 3 2022,3:30 PM,Sat,Wyoming,40,,Tulsa,37,
92,2,Sep 4 2022,7:30 PM,Sun,Florida State,24,N,Louisiana State,23,
93,2,Sep 4 2022,12:00 AM,Sun,Western Kentucky,49,@,Hawaii,17,
94,2,Sep 5 2022,8:00 PM,Mon,(4) Clemson,41,@,Georgia Tech,10,
95,3,Sep 9 2022,9:00 PM,Fri,Boise State,31,@,New Mexico,14,
96,3,Sep 9 2022,7:30 PM,Fri,Louisville,20,@,Central Florida,14,
97,3,Sep 10 2022,3:30 PM,Sat,Air Force,41,,Colorado,10,
98,3,Sep 10 2022,12:00 PM,Sat,(1) Alabama,20,@,Texas,19,
99,3,Sep 10 2022,3:30 PM,Sat,Appalachian State,17,@,(6) Texas A&M,14,
100,3,Sep 10 2022,12:00 PM,Sat,(16) Arkansas,44,,South Carolina,30,
101,3,Sep 10 2022,7:30 PM,Sat,Auburn,24,,San Jose State,16,
102,3,Sep 10 2022,10:15 PM,Sat,(21) Brigham Young,26,,(9) Baylor,20,
103,3,Sep 10 2022,4:00 PM,Sat,California,20,,Nevada-Las Vegas,14,
104,3,Sep 10 2022,3:30 PM,Sat,Cincinnati,63,,Kennesaw State,10,
105,3,Sep 10 2022,3:30 PM,Sat,(5) Clemson,35,,Furman,12,
106,3,Sep 10 2022,6:00 PM,Sat,Coastal Carolina,31,,Gardner-Webb,27,
107,3,Sep 10 2022,12:00 PM,Sat,Duke,31,@,Northwestern,23,
108,3,Sep 10 2022,6:00 PM,Sat,East Carolina,39,,Old Dominion,21,
109,3,Sep 10 2022,4:00 PM,Sat,Eastern Kentucky,59,@,Bowling Green,57,
110,3,Sep 10 2022,6:00 PM,Sat,Florida Atlantic,42,,Southeastern Louisiana,9,
111,3,Sep 10 2022,4:00 PM,Sat,(2) Georgia,33,,Samford,0,
112,3,Sep 10 2022,7:30 PM,Sat,Georgia Southern,45,@,Nebraska,42,
113,3,Sep 10 2022,7:00 PM,Sat,Georgia Tech,35,,Western Carolina,17,
114,3,Sep 10 2022,6:00 PM,Sat,Holy Cross,37,@,Buffalo,31,
115,3,Sep 10 2022,4:00 PM,Sat,Illinois,24,,Virginia,3,
116,3,Sep 10 2022,5:30 PM,Sat,Incarnate Word,55,@,Nevada,41,
117,3,Sep 10 2022,8:00 PM,Sat,Indiana,35,,Idaho,22,
118,3,Sep 10 2022,4:00 PM,Sat,Iowa State,10,@,Iowa,7,
119,3,Sep 10 2022,4:00 PM,Sat,James Madison,63,,Norfolk State,7,
120,3,Sep 10 2022,6:00 PM,Sat,Kansas,55,@,West Virginia,42,
121,3,Sep 10 2022,12:00 PM,Sat,Kansas State,40,,Missouri,12,
122,3,Sep 10 2022,7:00 PM,Sat,(20) Kentucky,26,@,(12) Florida,16,
123,3,Sep 10 2022,6:00 PM,Sat,Liberty,21,,Alabama-Birmingham,14,
124,3,Sep 10 2022,1:00 AM,Sat,Louisiana,49,,Eastern Michigan,21,
125,3,Sep 10 2022,7:30 PM,Sat,Louisiana State,65,,Southern,17,
126,3,Sep 10 2022,7:00 PM,Sat,Louisiana Tech,52,,Stephen F. Austin,17,
127,3,Sep 10 2022,8:00 PM,Sat,Louisiana-Monroe,35,,Nicholls State,7,
128,3,Sep 10 2022,2:30 PM,Sat,Marshall,26,@,(8) Notre Dame,21,
129,3,Sep 10 2022,3:30 PM,Sat,Maryland,56,@,Charlotte,21,
130,3,Sep 10 2022,3:30 PM,Sat,Memphis,37,@,Navy,13,
131,3,Sep 10 2022,12:00 PM,Sat,(15) Miami (FL),30,,Southern Mississippi,7,
132,3,Sep 10 2022,6:00 PM,Sat,Miami (OH),31,,Robert Morris,14,
133,3,Sep 10 2022,8:00 PM,Sat,(4) Michigan,56,,Hawaii,10,
134,3,Sep 10 2022,4:00 PM,Sat,(14) Michigan State,52,,Akron,0,
135,3,Sep 10 2022,4:00 PM,Sat,Middle Tennessee State,34,@,Colorado State,19,
136,3,Sep 10 2022,12:00 PM,Sat,Minnesota,62,,Western Illinois,10,
137,3,Sep 10 2022,1:00 AM,Sat,(22) Mississippi,59,,Central Arkansas,3,
138,3,Sep 10 2022,11:00 PM,Sat,Mississippi State,39,@,Arizona,17,
139,3,Sep 10 2022,12:00 PM,Sat,North Carolina,35,@,Georgia State,28,
140,3,Sep 10 2022,12:30 PM,Sat,(18) North Carolina State,55,,Charleston Southern,3,
141,3,Sep 10 2022,7:30 PM,Sat,North Texas,59,,Texas Southern,27,
142,3,Sep 10 2022,12:00 PM,Sat,(3) Ohio State,45,,Arkansas State,12,
143,3,Sep 10 2022,7:00 PM,Sat,(7) Oklahoma,33,,Kent State,3,
144,3,Sep 10 2022,7:30 PM,Sat,(11) Oklahoma State,34,,Arizona State,17,
145,3,Sep 10 2022,8:30 PM,Sat,Oregon,70,,Eastern Washington,14,
146,3,Sep 10 2022,10:30 PM,Sat,Oregon State,35,@,Fresno State,32,
147,3,Sep 10 2022,12:00 PM,Sat,Penn State,46,,Ohio,10,
148,3,Sep 10 2022,4:00 PM,Sat,Purdue,56,,Indiana State,0,
149,3,Sep 10 2022,7:30 PM,Sat,Rice,52,,McNeese State,10,
150,3,Sep 10 2022,4:00 PM,Sat,Rutgers,66,,Wagner,7,
151,3,Sep 10 2022,8:00 PM,Sat,San Diego State,38,,Idaho State,7,
152,3,Sep 10 2022,1:00 PM,Sat,South Alabama,38,@,Central Michigan,24,
153,3,Sep 10 2022,7:00 PM,Sat,South Florida,42,,Howard,20,
154,3,Sep 10 2022,7:30 PM,Sat,(10) Southern California,41,@,Stanford,28,
155,3,Sep 10 2022,7:00 PM,Sat,Southern Methodist,45,,Lamar,16,
156,3,Sep 10 2022,7:00 PM,Sat,Syracuse,48,@,Connecticut,14,
157,3,Sep 10 2022,2:00 PM,Sat,Temple,30,,Lafayette,14,
158,3,Sep 10 2022,3:30 PM,Sat,(24) Tennessee,34,@,(17) Pittsburgh,27,
159,3,Sep 10 2022,8:00 PM,Sat,Texas Christian,59,,Tarleton State,17,
160,3,Sep 10 2022,7:00 PM,Sat,Texas State,41,,Florida International,12,
161,3,Sep 10 2022,4:00 PM,Sat,Texas Tech,33,,(25) Houston,30,
162,3,Sep 10 2022,9:00 PM,Sat,Texas-El Paso,20,,New Mexico State,13,
163,3,Sep 10 2022,12:00 PM,Sat,Texas-San Antonio,41,@,Army,38,
164,3,Sep 10 2022,7:00 PM,Sat,Toledo,55,,Massachusetts,10,
165,3,Sep 10 2022,8:00 PM,Sat,Troy,38,,Alabama A&M,17,
166,3,Sep 10 2022,7:00 PM,Sat,Tulane,52,,Alcorn State,0,
167,3,Sep 10 2022,7:00 PM,Sat,Tulsa,38,,Northern Illinois,35,
168,3,Sep 10 2022,5:00 PM,Sat,UCLA,45,,Alabama State,7,
169,3,Sep 10 2022,1:30 PM,Sat,(13) Utah,73,,Southern Utah,7,
170,3,Sep 10 2022,8:00 PM,Sat,Virginia Tech,27,,Boston College,10,
171,3,Sep 10 2022,12:00 PM,Sat,(23) Wake Forest,45,@,Vanderbilt,25,
172,3,Sep 10 2022,4:00 PM,Sat,Washington,52,,Portland State,6,
173,3,Sep 10 2022,3:30 PM,Sat,Washington State,17,@,(19) Wisconsin,14,
174,3,Sep 10 2022,7:00 PM,Sat,Weber State,35,@,Utah State,7,
175,3,Sep 10 2022,2:00 PM,Sat,Western Michigan,37,@,Ball State,30,
176,3,Sep 10 2022,4:00 PM,Sat,Wyoming,33,,Northern Colorado,10,
177,4,Sep 16 2022,7:30 PM,Fri,Florida State,35,@,Louisville,31,
178,4,Sep 16 2022,8:00 PM,Fri,Wyoming,17,,Air Force,14,
179,4,Sep 17 2022,4:00 PM,Sat,(2) Alabama,63,,Louisiana-Monroe,7,
180,4,Sep 17 2022,3:30 PM,Sat,Alabama-Birmingham,35,,Georgia Southern,21,
181,4,Sep 17 2022,3:30 PM,Sat,Appalachian State,32,,Troy,28,
182,4,Sep 17 2022,11:00 PM,Sat,Arizona,31,,North Dakota State,28,
183,4,Sep 17 2022,7:00 PM,Sat,(10) Arkansas,38,,Missouri State,27,
184,4,Sep 17 2022,12:00 PM,Sat,Army,49,,Villanova,10,
185,4,Sep 17 2022,2:00 PM,Sat,Ball State,31,,Murray State,0,
186,4,Sep 17 2022,12:00 PM,Sat,(17) Baylor,42,,Texas State,7,
187,4,Sep 17 2022,4:00 PM,Sat,Boise State,30,,Tennessee-Martin,7,
188,4,Sep 17 2022,7:30 PM,Sat,Boston College,38,,Maine,17,
189,4,Sep 17 2022,5:00 PM,Sat,Bowling Green,34,,Marshall,31,
190,4,Sep 17 2022,7:30 PM,Sat,Central Florida,40,@,Florida Atlantic,14,
191,4,Sep 17 2022,1:00 PM,Sat,Central Michigan,41,,Bucknell,0,
192,4,Sep 17 2022,7:00 PM,Sat,Charlotte,42,@,Georgia State,41,
193,4,Sep 17 2022,12:00 PM,Sat,Cincinnati,38,N,Miami (OH),17,
194,4,Sep 17 2022,8:00 PM,Sat,(5) Clemson,48,,Louisiana Tech,20,
195,4,Sep 17 2022,1:00 PM,Sat,Coastal Carolina,38,,Buffalo,26,
196,4,Sep 17 2022,6:00 PM,Sat,Duke,49,,North Carolina A&T,20,
197,4,Sep 17 2022,6:00 PM,Sat,East Carolina,49,,Campbell,10,
198,4,Sep 17 2022,11:00 PM,Sat,Eastern Michigan,30,@,Arizona State,21,
199,4,Sep 17 2022,7:30 PM,Sat,(18) Florida,31,,South Florida,28,
200,4,Sep 17 2022,12:00 PM,Sat,(1) Georgia,48,@,South Carolina,7,
201,4,Sep 17 2022,12:00 PM,Sat,Indiana,33,,Western Kentucky,30,
202,4,Sep 17 2022,7:30 PM,Sat,Iowa,27,,Nevada,0,
203,4,Sep 17 2022,2:00 PM,Sat,Iowa State,43,,Ohio,10,
204,4,Sep 17 2022,4:00 PM,Sat,Kansas,48,@,Houston,30,
205,4,Sep 17 2022,12:00 PM,Sat,Kent State,63,,Long Island,10,
206,4,Sep 17 2022,12:00 PM,Sat,(9) Kentucky,31,,Youngstown State,0,
207,4,Sep 17 2022,6:00 PM,Sat,Louisiana State,31,,Mississippi State,16,
208,4,Sep 17 2022,7:30 PM,Sat,Maryland,34,,Southern Methodist,27,
209,4,Sep 17 2022,3:30 PM,Sat,Massachusetts,20,,Stony Brook,3,
210,4,Sep 17 2022,7:00 PM,Sat,Memphis,44,,Arkansas State,32,
211,4,Sep 17 2022,12:00 PM,Sat,(4) Michigan,59,,Connecticut,0,
212,4,Sep 17 2022,7:00 PM,Sat,Middle Tennessee State,49,,Tennessee State,6,
213,4,Sep 17 2022,3:30 PM,Sat,Minnesota,49,,Colorado,7,
214,4,Sep 17 2022,3:30 PM,Sat,(20) Mississippi,42,@,Georgia Tech,0,
215,4,Sep 17 2022,12:00 PM,Sat,Missouri,34,,Abilene Christian,17,
216,4,Sep 17 2022,3:00 PM,Sat,Nevada-Las Vegas,58,,North Texas,27,
217,4,Sep 17 2022,8:00 PM,Sat,New Mexico,27,,Texas-El Paso,10,
218,4,Sep 17 2022,7:00 PM,Sat,(16) North Carolina State,27,,Texas Tech,14,
219,4,Sep 17 2022,2:30 PM,Sat,Notre Dame,24,,California,17,
220,4,Sep 17 2022,7:00 PM,Sat,(3) Ohio State,77,,Toledo,21,
221,4,Sep 17 2022,12:00 PM,Sat,(6) Oklahoma,49,@,Nebraska,14,
222,4,Sep 17 2022,7:00 PM,Sat,(8) Oklahoma State,63,,Arkansas-Pine Bluff,7,
223,4,Sep 17 2022,3:30 PM,Sat,(25) Oregon,41,,(12) Brigham Young,20,
224,4,Sep 17 2022,8:00 PM,Sat,Oregon State,68,N,Montana State,28,
225,4,Sep 17 2022,3:30 PM,Sat,(22) Penn State,41,@,Auburn,12,
226,4,Sep 17 2022,7:30 PM,Sat,(23) Pittsburgh,34,@,Western Michigan,13,
227,4,Sep 17 2022,7:30 PM,Sat,Rice,33,,Louisiana,21,
228,4,Sep 17 2022,2:00 PM,Sat,Rutgers,16,@,Temple,14,
229,4,Sep 17 2022,10:30 PM,Sat,(7) Southern California,45,,Fresno State,17,
230,4,Sep 17 2022,12:00 PM,Sat,Southern Illinois,31,@,Northwestern,24,
231,4,Sep 17 2022,7:00 PM,Sat,Southern Mississippi,64,,Northwestern State,10,
232,4,Sep 17 2022,12:00 PM,Sat,Syracuse,32,,Purdue,29,
233,4,Sep 17 2022,7:00 PM,Sat,(15) Tennessee,63,,Akron,6,
234,4,Sep 17 2022,8:00 PM,Sat,(21) Texas,41,,Texas-San Antonio,20,
235,4,Sep 17 2022,9:00 PM,Sat,(24) Texas A&M,17,,(13) Miami (FL),9,
236,4,Sep 17 2022,3:00 PM,Sat,Tulane,17,@,Kansas State,10,
237,4,Sep 17 2022,7:00 PM,Sat,Tulsa,54,,Jacksonville State,17,
238,4,Sep 17 2022,2:00 PM,Sat,UCLA,32,,South Alabama,31,
239,4,Sep 17 2022,10:00 PM,Sat,(14) Utah,35,,San Diego State,7,
240,4,Sep 17 2022,3:30 PM,Sat,Vanderbilt,38,@,Northern Illinois,28,
241,4,Sep 17 2022,2:00 PM,Sat,Virginia,16,,Old Dominion,14,
242,4,Sep 17 2022,11:00 AM,Sat,Virginia Tech,27,,Wofford,7,
243,4,Sep 17 2022,5:00 PM,Sat,(19) Wake Forest,37,,Liberty,36,
244,4,Sep 17 2022,7:30 PM,Sat,Washington,39,,(11) Michigan State,28,
245,4,Sep 17 2022,5:00 PM,Sat,Washington State,38,,Colorado State,7,
246,4,Sep 17 2022,1:00 PM,Sat,West Virginia,65,,Towson,7,
247,4,Sep 17 2022,3:30 PM,Sat,Wisconsin,66,,New Mexico State,7,
248,4,Sep 18 2022,12:00 AM,Sun,Hawaii,24,,Duquesne,14,
249,5,Sep 22 2022,8:30 PM,Thu,Chattanooga,0,@,Illinois,0,
250,5,Sep 22 2022,7:30 PM,Thu,Coastal Carolina,0,@,Georgia State,0,
251,5,Sep 22 2022,7:30 PM,Thu,West Virginia,0,@,Virginia Tech,0,
252,5,Sep 23 2022,9:00 PM,Fri,Boise State,0,@,Texas-El Paso,0,
253,5,Sep 23 2022,8:00 PM,Fri,Nevada,0,@,Air Force,0,
254,5,Sep 23 2022,7:00 PM,Fri,Virginia,0,@,Syracuse,0,
255,5,Sep 24 2022,6:00 PM,Sat,Akron,0,@,Liberty,0,
256,5,Sep 24 2022,3:00 AM,Sat,Arizona,0,@,California,0,
257,5,Sep 24 2022,6:00 PM,Sat,Arkansas State,0,@,Old Dominion,0,
258,5,Sep 24 2022,6:00 PM,Sat,Ball State,0,@,Georgia Southern,0,
259,5,Sep 24 2022,12:00 PM,Sat,(17) Baylor,0,@,Iowa State,0,
260,5,Sep 24 2022,8:00 PM,Sat,Boston College,0,@,Florida State,0,
261,5,Sep 24 2022,12:00 PM,Sat,Bowling Green,0,@,Mississippi State,0,
262,5,Sep 24 2022,12:00 PM,Sat,Buffalo,0,@,Eastern Michigan,0,
263,5,Sep 24 2022,12:00 PM,Sat,Central Michigan,0,@,(22) Penn State,0,
264,5,Sep 24 2022,7:30 PM,Sat,Charlotte,0,@,South Carolina,0,
265,5,Sep 24 2022,12:00 PM,Sat,(5) Clemson,0,@,(19) Wake Forest,0,
266,5,Sep 24 2022,7:30 PM,Sat,Connecticut,0,@,(16) North Carolina State,0,
267,5,Sep 24 2022,12:00 PM,Sat,Duke,0,@,Kansas,0,
268,5,Sep 24 2022,3:30 PM,Sat,(18) Florida,0,@,(15) Tennessee,0,
269,5,Sep 24 2022,7:30 PM,Sat,Florida Atlantic,0,@,Purdue,0,
270,5,Sep 24 2022,3:30 PM,Sat,Florida International,0,@,Western Kentucky,0,
271,5,Sep 24 2022,2:00 PM,Sat,Fordham,0,@,Ohio,0,
272,5,Sep 24 2022,12:00 AM,Sat,Georgia Tech,0,@,Central Florida,0,
273,5,Sep 24 2022,8:00 PM,Sat,Hawaii,0,@,New Mexico State,0,
274,5,Sep 24 2022,7:00 PM,Sat,Houston Baptist,0,@,Texas State,0,
275,5,Sep 24 2022,12:00 AM,Sat,Indiana,0,@,Cincinnati,0,
276,5,Sep 24 2022,7:00 PM,Sat,Iowa,0,@,Rutgers,0,
277,5,Sep 24 2022,3:30 PM,Sat,James Madison,0,@,Appalachian State,0,
278,5,Sep 24 2022,8:00 PM,Sat,Kansas State,0,@,(6) Oklahoma,0,
279,5,Sep 24 2022,12:00 PM,Sat,Kent State,0,@,(1) Georgia,0,
280,5,Sep 24 2022,8:00 PM,Sat,Louisiana,0,@,Louisiana-Monroe,0,
281,5,Sep 24 2022,7:00 PM,Sat,Louisiana Tech,0,@,South Alabama,0,
282,5,Sep 24 2022,7:00 PM,Sat,Marshall,0,@,Troy,0,
283,5,Sep 24 2022,12:00 PM,Sat,Maryland,0,@,(4) Michigan,0,
284,5,Sep 24 2022,2:00 PM,Sat,Massachusetts,0,@,Temple,0,
285,5,Sep 24 2022,1:00 AM,Sat,Miami (OH),0,@,Northwestern,0,
286,5,Sep 24 2022,3:30 PM,Sat,Middle Tennessee State,0,@,(13) Miami (FL),0,
287,5,Sep 24 2022,3:30 PM,Sat,Minnesota,0,@,(11) Michigan State,0,
288,5,Sep 24 2022,12:00 PM,Sat,Missouri,0,@,Auburn,0,
289,5,Sep 24 2022,6:00 PM,Sat,Navy,0,@,East Carolina,0,
290,5,Sep 24 2022,7:00 PM,Sat,Nevada-Las Vegas,0,@,Utah State,0,
291,5,Sep 24 2022,7:30 PM,Sat,New Mexico,0,@,Louisiana State,0,
292,5,Sep 24 2022,3:30 PM,Sat,North Texas,0,@,Memphis,0,
293,5,Sep 24 2022,7:00 PM,Sat,Northern Illinois,0,@,(9) Kentucky,0,
294,5,Sep 24 2022,3:30 PM,Sat,Notre Dame,0,@,North Carolina,0,
295,5,Sep 24 2022,4:00 PM,Sat,(25) Oregon,0,@,Washington State,0,
296,5,Sep 24 2022,12:00 PM,Sat,Rhode Island,0,@,(23) Pittsburgh,0,
297,5,Sep 24 2022,6:00 PM,Sat,Rice,0,@,Houston,0,
298,5,Sep 24 2022,4:00 PM,Sat,Sacramento State,0,@,Colorado State,0,
299,5,Sep 24 2022,12:00 PM,Sat,South Florida,0,@,Louisville,0,
300,5,Sep 24 2022,9:30 PM,Sat,(7) Southern California,0,@,Oregon State,0,
301,5,Sep 24 2022,7:00 PM,Sat,Southern Mississippi,0,@,Tulane,0,
302,5,Sep 24 2022,10:30 PM,Sat,Stanford,0,@,Washington,0,
303,5,Sep 24 2022,3:30 PM,Sat,(21) Texas,0,@,Texas Tech,0,
304,5,Sep 24 2022,7:00 PM,Sat,(24) Texas A&M,0,N,(10) Arkansas,0,
305,5,Sep 24 2022,12:00 PM,Sat,Texas Christian,0,@,Southern Methodist,0,
306,5,Sep 24 2022,3:30 PM,Sat,Texas Southern,0,@,Texas-San Antonio,0,
307,5,Sep 24 2022,3:30 PM,Sat,Toledo,0,@,San Diego State,0,
308,5,Sep 24 2022,4:00 PM,Sat,Tulsa,0,@,(20) Mississippi,0,
309,5,Sep 24 2022,2:00 AM,Sat,UCLA,0,@,Colorado,0,
310,5,Sep 24 2022,10:30 PM,Sat,(14) Utah,0,@,Arizona State,0,
311,5,Sep 24 2022,1:00 AM,Sat,Vanderbilt,0,@,(2) Alabama,0,
312,5,Sep 24 2022,10:30 PM,Sat,Western Michigan,0,@,San Jose State,0,
313,5,Sep 24 2022,7:30 PM,Sat,Wisconsin,0,@,(3) Ohio State,0,
314,5,Sep 24 2022,10:15 PM,Sat,Wyoming,0,@,(12) Brigham Young,0,
315,6,Sep 29 2022,8:00 PM,Thu,Utah State,0,@,(12) Brigham Young,0,
316,6,Sep 30 2022,10:00 PM,Fri,New Mexico,0,@,Nevada-Las Vegas,0,
317,6,Sep 30 2022,8:00 PM,Fri,San Diego State,0,@,Boise State,0,
